date,open,max_v,min_v,close,volume,crypto
2021-03-07,"420,63","434,35","420,27","432,80",1.891.921.121,bitcoincash
2021-03-06,"418,86","423,85","406,19","420,62",1.952.380.434,bitcoincash
2021-03-05,"423,50","423,50","398,18","418,92",2.593.315.676,bitcoincash
2021-03-04,"434,56","446,21","413,47","423,55",3.105.023.199,bitcoincash
2021-03-03,"427,84","459,88","424,26","434,63",3.084.412.088,bitcoincash
2021-03-02,"415,68","456,55","411,09","427,82",3.910.000.785,bitcoincash
2021-03-01,"380,42","419,82","379,43","415,77",3.024.362.791,bitcoincash
2021-02-28,"400,69","401,94","361,78","380,39",3.788.593.313,bitcoincash
2021-02-27,"401,41","415,23","393,56","400,71",3.022.471.550,bitcoincash
2021-02-26,"409,04","419,18","379,50","401,35",4.321.780.576,bitcoincash
2021-02-25,"433,08","454,21","408,72","408,72",3.908.928.676,bitcoincash
2021-02-24,"422,65","456,99","410,29","433,09",4.724.940.571,bitcoincash
2021-02-23,"518,11","518,29","343,43","422,34",6.831.361.078,bitcoincash
2021-02-22,"583,53","584,36","449,08","518,20",6.119.695.420,bitcoincash
2021-02-21,"562,68","606,80","551,76","583,59",4.428.216.408,bitcoincash
2021-02-20,"594,73","617,89","526,15","562,94",5.360.368.382,bitcoincash
2021-02-19,"583,87","609,96","566,65","594,82",4.333.407.206,bitcoincash
2021-02-18,"594,96","603,91","573,91","583,86",3.547.295.290,bitcoincash
2021-02-17,"585,12","602,99","561,35","594,99",7.278.787.914,bitcoincash
2021-02-16,"586,98","612,13","555,56","585,11",8.883.992.492,bitcoincash
2021-02-15,"597,25","632,68","513,40","587,22",12.630.274.751,bitcoincash
2021-02-14,"547,79","614,20","538,70","597,35",12.106.075.326,bitcoincash
2021-02-13,"476,52","548,64","450,68","547,57",8.946.548.191,bitcoincash
2021-02-12,"436,58","476,97","424,30","476,57",6.176.927.809,bitcoincash
2021-02-11,"408,35","443,65","405,33","436,69",5.586.132.531,bitcoincash
2021-02-10,"423,76","439,36","388,74","408,43",6.406.483.695,bitcoincash
2021-02-09,"401,32","426,27","392,88","423,83",6.080.225.654,bitcoincash
2021-02-08,"369,40","403,26","363,18","401,33",5.119.258.016,bitcoincash
2021-02-07,"379,78","384,08","357,14","369,48",4.638.247.505,bitcoincash
2021-02-06,"370,58","405,34","369,48","379,81",6.121.833.787,bitcoincash
2021-02-05,"351,66","371,63","350,43","370,54",3.445.944.268,bitcoincash
2021-02-04,"369,47","377,05","345,83","351,68",4.028.234.608,bitcoincash
2021-02-03,"357,36","372,69","357,36","369,43",4.083.307.165,bitcoincash
2021-02-02,"343,09","360,47","340,26","357,36",3.972.896.352,bitcoincash
2021-02-01,"329,76","366,15","321,93","343,08",4.514.268.703,bitcoincash
2021-01-31,"341,95","342,88","322,75","329,77",3.051.328.676,bitcoincash
2021-01-30,"335,70","343,72","323,74","341,87",4.146.652.278,bitcoincash
2021-01-29,"341,91","355,92","324,27","335,73",6.396.197.687,bitcoincash
2021-01-28,"312,36","328,84","307,88","323,23",4.812.251.709,bitcoincash
2021-01-27,"351,88","352,14","307,63","312,35",5.357.961.653,bitcoincash
2021-01-26,"357,19","360,86","341,43","351,90",4.562.327.289,bitcoincash
2021-01-25,"361,67","382,05","356,37","357,25",4.256.758.354,bitcoincash
2021-01-24,"354,40","368,58","348,27","361,71",3.180.630.334,bitcoincash
2021-01-23,"362,53","364,56","345,07","354,43",3.345.574.974,bitcoincash
2021-01-22,"344,80","369,81","325,35","362,74",4.715.093.373,bitcoincash
2021-01-21,"412,13","412,13","335,20","344,90",5.194.134.034,bitcoincash
2021-01-20,"420,80","426,25","391,17","412,16",5.038.162.827,bitcoincash
2021-01-19,"422,60","450,90","416,76","421,01",5.284.940.240,bitcoincash
2021-01-18,"396,81","425,39","390,00","422,61",3.721.895.444,bitcoincash
2021-01-17,"406,45","409,90","383,82","396,78",3.841.791.696,bitcoincash
2021-01-16,"407,72","425,04","393,77","406,46",5.218.383.967,bitcoincash
2021-01-15,"433,29","438,99","378,33","407,79",6.009.147.003,bitcoincash
2021-01-14,"407,67","442,53","400,00","433,16",5.767.648.083,bitcoincash
2021-01-13,"368,91","411,00","358,82","407,65",5.753.617.439,bitcoincash
2021-01-12,"394,12","419,92","367,00","368,82",7.367.639.815,bitcoincash
2021-01-11,"495,38","495,38","334,69","394,37",12.545.488.121,bitcoincash
2021-01-10,"469,84","515,17","456,31","495,27",15.320.140.290,bitcoincash
2021-01-09,"360,72","480,89","343,85","469,46",9.799.646.227,bitcoincash
2021-01-08,"366,44","370,34","333,90","360,78",6.858.223.560,bitcoincash
2021-01-07,"368,33","393,60","352,63","366,42",6.614.606.773,bitcoincash
2021-01-06,"341,35","372,15","336,53","368,34",5.269.131.324,bitcoincash
2021-01-05,"332,96","347,91","320,98","341,32",5.257.343.678,bitcoincash
2021-01-04,"344,54","377,29","315,54","332,94",7.016.861.510,bitcoincash
2021-01-03,"292,25","353,57","292,25","344,32",5.937.217.755,bitcoincash
2021-04-12,"362,87","368,96","350,19","359,62",189.517.376,kusama
2021-04-11,"376,97","378,59","364,51","369,34",151.759.531,kusama
2021-04-10,"380,01","387,84","370,29","376,81",193.380.257,kusama
2021-04-09,"386,82","391,52","372,22","379,83",195.957.291,kusama
2021-04-08,"360,61","392,19","357,47","386,95",290.765.121,kusama
2021-04-07,"371,72","394,97","321,56","359,98",421.002.826,kusama
2021-04-06,"390,59","397,14","363,77","371,20",303.144.341,kusama
2021-04-05,"380,62","404,31","365,56","391,09",294.173.317,kusama
2021-04-04,"374,63","389,57","368,48","381,29",245.638.197,kusama
